Station Code,Name,Date,Temp,Prec,WS,Humi,Pres
108,서울,2020-01-01,-2.2,0.1,0.6,64.4,1021.1
108,서울,2020-01-02,1,,1.2,65.4,1018.7
108,서울,2020-01-03,-0.1,,1.7,56.9,1016.4
108,서울,2020-01-04,1.2,,1.9,50.8,1015.4
108,서울,2020-01-05,1.3,,1.1,45.6,1019.7
108,서울,2020-01-06,3.1,1.8,3.1,65.4,1015.3
108,서울,2020-01-07,6.3,46.3,4,95,999.3
108,서울,2020-01-08,2.4,11.6,3.3,86.1,1003.6
108,서울,2020-01-09,-1.2,,2.3,65.3,1013.4
108,서울,2020-01-10,-0.6,,1.5,62.9,1013
108,서울,2020-01-11,-0.1,,1.9,60.9,1009.4
108,서울,2020-01-12,-1,,2.4,61.5,1007.5
108,서울,2020-01-13,-2.9,,2.3,51,1012.4
108,서울,2020-01-14,-2.3,,1.6,45.3,1015
108,서울,2020-01-15,-2.7,,1.9,44.8,1017.6
108,서울,2020-01-16,-1.7,,1.6,43,1016.3
108,서울,2020-01-17,-0.6,,1.5,43.9,1012.6
108,서울,2020-01-18,0.3,,1.8,48.1,1010.9
108,서울,2020-01-19,1.9,0.6,2.2,62.8,1008
108,서울,2020-01-20,0.7,,2.5,46.8,1012.2
108,서울,2020-01-21,-0.4,,1.4,36.9,1018.8
108,서울,2020-01-22,3,,1.7,36,1014.6
108,서울,2020-01-23,4.6,,2,49.3,1013.5
108,서울,2020-01-24,2.8,,1.7,63,1019.5
108,서울,2020-01-25,4.3,,1.5,63.1,1018.7
108,서울,2020-01-26,5.5,,2.7,56.3,1016.5
108,서울,2020-01-27,5.9,0.1,4.6,48.1,1010.4
108,서울,2020-01-28,6.8,0,2.6,49.4,1007.7
108,서울,2020-01-29,6,,2.1,46.4,1005.3
108,서울,2020-01-30,5.2,,1.8,47,1004.4
108,서울,2020-01-31,3.9,0,2.3,59.6,1009
108,서울,2020-02-01,2.6,,1.7,66.6,1013.4
108,서울,2020-02-02,1.5,,1.8,52.3,1014.7
108,서울,2020-02-03,-0.4,0,3.1,43.6,1016.3
108,서울,2020-02-04,-1.6,1.7,2.8,50.3,1015.8
108,서울,2020-02-05,-8.3,,3.3,37.3,1021
108,서울,2020-02-06,-6.4,,1.9,36.4,1023
108,서울,2020-02-07,-1.7,0,2,45.1,1018.5
108,서울,2020-02-08,-0.1,0,3,48.1,1016.7
108,서울,2020-02-09,-0.5,0,2,51.1,1014.6
108,서울,2020-02-10,4,0,1.7,49.4,1013.4
108,서울,2020-02-11,6.8,,1.6,37,1016.3
108,서울,2020-02-12,7.4,6.7,2.2,73.4,1006.4
108,서울,2020-02-13,6.5,,1.7,84.8,1008.8
108,서울,2020-02-14,8.1,,1.2,70.3,1010.4
108,서울,2020-02-15,9.8,2,2.7,63,1007.3
108,서울,2020-02-16,-1.4,13.4,4,81.1,1002.6
108,서울,2020-02-17,-5.9,1,3.4,64.3,1007.4
108,서울,2020-02-18,-4.1,,2.3,44,1016.7
108,서울,2020-02-19,1,,1.5,56.8,1019.3
108,서울,2020-02-20,4.6,,1.7,62.6,1022.6
108,서울,2020-02-21,6.7,4.2,2.2,66.3,1018.5
108,서울,2020-02-22,4,3.1,4,62,1014.2
108,서울,2020-02-23,2.5,,2,48.6,1018.2
108,서울,2020-02-24,7,,1.6,51.8,1013.6
108,서울,2020-02-25,6.7,16.6,4.2,73.5,1007.4
108,서울,2020-02-26,6.4,0,2.1,59.6,1012.7
108,서울,2020-02-27,6.1,,2,54,1017
108,서울,2020-02-28,4.5,3.9,1.4,79.4,1011.9
108,서울,2020-02-29,7.7,0.5,1.7,68.6,1007.7
108,서울,2020-03-01,5.8,0.2,2,71.8,1007.9
108,서울,2020-03-02,3.4,0,2.7,55.3,1013.1
108,서울,2020-03-03,4.8,,2.6,57,1013.3
108,서울,2020-03-04,2.2,0,3.7,53.4,1011.4
108,서울,2020-03-05,1.4,,2.5,47.5,1014.5
108,서울,2020-03-06,3.7,,1.6,46.8,1011.7
108,서울,2020-03-07,7,,2,39.5,1007.5
108,서울,2020-03-08,9.3,,1.6,43.8,1008
108,서울,2020-03-09,11.1,,1.8,37.6,1003.6
108,서울,2020-03-10,6.4,11.8,2.8,78.4,997.6
108,서울,2020-03-11,3.8,,3.3,41.8,1007.7
108,서울,2020-03-12,6.8,,2.5,49.8,1010.9
108,서울,2020-03-13,4.9,0.5,3.3,41,1011.3
108,서울,2020-03-14,3.6,,3,48.1,1005
