Station Code,Station,Date,cbwd
108 ,서울,2018-01-01,290 
108 ,서울,2018-01-02,290 
108 ,서울,2018-01-03,290 
108 ,서울,2018-01-04,290 
108 ,서울,2018-01-05,290 
108 ,서울,2018-01-06,290 
108 ,서울,2018-01-07,90 
108 ,서울,2018-01-08,270 
108 ,서울,2018-01-09,290 
108 ,서울,2018-01-10,290 
108 ,서울,2018-01-11,290 
108 ,서울,2018-01-12,290 
108 ,서울,2018-01-13,50 
108 ,서울,2018-01-14,90 
108 ,서울,2018-01-15,290 
108 ,서울,2018-01-16,20 
108 ,서울,2018-01-17,290 
108 ,서울,2018-01-18,290 
108 ,서울,2018-01-19,290 
108 ,서울,2018-01-20,270 
108 ,서울,2018-01-21,290 
108 ,서울,2018-01-22,290 
108 ,서울,2018-01-23,290 
108 ,서울,2018-01-24,290 
108 ,서울,2018-01-25,340 
108 ,서울,2018-01-26,320 
108 ,서울,2018-01-27,270 
108 ,서울,2018-01-28,290 
108 ,서울,2018-01-29,270 
108 ,서울,2018-01-30,200 
108 ,서울,2018-01-31,290 
108 ,서울,2018-02-01,290 
108 ,서울,2018-02-02,290 
108 ,서울,2018-02-03,290 
108 ,서울,2018-02-04,290 
108 ,서울,2018-02-05,290 
108 ,서울,2018-02-06,290 
108 ,서울,2018-02-07,290 
108 ,서울,2018-02-08,20 
108 ,서울,2018-02-09,230 
108 ,서울,2018-02-10,290 
108 ,서울,2018-02-11,270 
108 ,서울,2018-02-12,270 
108 ,서울,2018-02-13,200 
108 ,서울,2018-02-14,250 
108 ,서울,2018-02-15,290 
108 ,서울,2018-02-16,270 
108 ,서울,2018-02-17,290 
108 ,서울,2018-02-18,270 
108 ,서울,2018-02-19,290 
108 ,서울,2018-02-20,290 
108 ,서울,2018-02-21,290 
108 ,서울,2018-02-22,230 
108 ,서울,2018-02-23,230 
108 ,서울,2018-02-24,290 
108 ,서울,2018-02-25,290 
108 ,서울,2018-02-26,290 
108 ,서울,2018-02-27,90 
108 ,서울,2018-02-28,90 
108 ,서울,2018-03-01,290 
108 ,서울,2018-03-02,290 
108 ,서울,2018-03-03,270 
108 ,서울,2018-03-04,90 
108 ,서울,2018-03-05,50 
108 ,서울,2018-03-06,20 
108 ,서울,2018-03-07,90 
108 ,서울,2018-03-08,320 
108 ,서울,2018-03-09,290 
108 ,서울,2018-03-10,290 
108 ,서울,2018-03-11,290 
108 ,서울,2018-03-12,290 
108 ,서울,2018-03-13,230 
108 ,서울,2018-03-14,230 
108 ,서울,2018-03-15,270 
108 ,서울,2018-03-16,90 
108 ,서울,2018-03-17,270 
108 ,서울,2018-03-18,290 
108 ,서울,2018-03-19,90 
108 ,서울,2018-03-20,90 
108 ,서울,2018-03-21,20 
108 ,서울,2018-03-22,270 
108 ,서울,2018-03-23,270 
108 ,서울,2018-03-24,270 
108 ,서울,2018-03-25,290 
108 ,서울,2018-03-26,290 
108 ,서울,2018-03-27,250 
108 ,서울,2018-03-28,250 
108 ,서울,2018-03-29,270 
108 ,서울,2018-03-30,90 
108 ,서울,2018-03-31,270 
108 ,서울,2018-04-01,200 
108 ,서울,2018-04-02,230 
108 ,서울,2018-04-03,230 
108 ,서울,2018-04-04,90 
108 ,서울,2018-04-05,90 
108 ,서울,2018-04-06,270 
108 ,서울,2018-04-07,270 
108 ,서울,2018-04-08,90 
108 ,서울,2018-04-09,20 
108 ,서울,2018-04-10,200 
108 ,서울,2018-04-11,270 
108 ,서울,2018-04-12,320 
108 ,서울,2018-04-13,110 
108 ,서울,2018-04-14,290 
108 ,서울,2018-04-15,270 
108 ,서울,2018-04-16,270 
108 ,서울,2018-04-17,290 
108 ,서울,2018-04-18,290 
108 ,서울,2018-04-19,290 
108 ,서울,2018-04-20,20 
108 ,서울,2018-04-21,270 
108 ,서울,2018-04-22,110 
108 ,서울,2018-04-23,110 
108 ,서울,2018-04-24,110 
108 ,서울,2018-04-25,290 
108 ,서울,2018-04-26,290 
108 ,서울,2018-04-27,290 
108 ,서울,2018-04-28,290 
108 ,서울,2018-04-29,290 
108 ,서울,2018-04-30,290 
108 ,서울,2018-05-01,320 
108 ,서울,2018-05-02,70 
108 ,서울,2018-05-03,290 
108 ,서울,2018-05-04,270 
108 ,서울,2018-05-05,230 
108 ,서울,2018-05-06,90 
108 ,서울,2018-05-07,290 
108 ,서울,2018-05-08,110 
108 ,서울,2018-05-09,90 
108 ,서울,2018-05-10,270 
108 ,서울,2018-05-11,290 
108 ,서울,2018-05-12,50 
108 ,서울,2018-05-13,270 
108 ,서울,2018-05-14,270 
108 ,서울,2018-05-15,230 
108 ,서울,2018-05-16,200 
108 ,서울,2018-05-17,270 
108 ,서울,2018-05-18,70 
108 ,서울,2018-05-19,90 
108 ,서울,2018-05-20,90 
108 ,서울,2018-05-21,110 
108 ,서울,2018-05-22,290 
108 ,서울,2018-05-23,320 
108 ,서울,2018-05-24,230 
108 ,서울,2018-05-25,290 
