,Year,Month,종로구,중구,동대문구,성동구,성북구,도봉구,서대문구,은평구,마포구,용산구,영등포구,동작구,강남구,강동구,강서구,구로구,관악구,노원구,양천구,중랑구,서초구,송파구,광진구,강북구,금천구
0,2018,1,1011,12182,4461,4961,4726,4270,2664,3447,1753,2955,6531,2969,7208,2873,11080,6180,2910,3163,4118,3542,14359,48413,6055,2377,3576
1,2018,2,751,9189,3931,4259,4265,3919,2490,3177,1558,2169,5791,2639,5684,2584,9602,7022,2679,2888,3849,3138,13041,24448,5703,2218,3122
2,2018,3,981,9208,4776,5313,4994,4291,2645,3543,2093,2762,6891,2964,5935,2939,10652,8357,2939,3152,4483,3463,14372,21461,6163,2629,3470
3,2018,4,890,10554,5091,4523,4795,4000,2631,3508,2590,2835,7105,2672,5636,2868,9842,6942,2731,3000,4001,3319,13996,50248,6015,2304,3529
4,2018,5,990,10041,4941,4703,4889,4111,2571,3665,1563,2465,7279,2683,6135,2967,10101,9619,2660,2986,4044,3419,12537,34323,5689,2310,3525
5,2018,6,1065,14180,5024,5321,5311,4329,2757,3728,1734,3039,7697,2943,7141,3189,10400,11043,2847,3270,4326,3603,14398,19049,6042,2759,3753
6,2018,7,1089,11781,4940,5315,5593,4624,2928,3970,3799,3075,7716,2952,7366,3211,11128,7267,3038,3519,4240,3745,14395,46586,6181,2970,4013
7,2018,8,1090,11974,5014,5322,5599,4897,2950,4260,3741,3162,7818,2967,7334,3158,12136,8416,3193,3639,4364,3656,14320,44928,5986,3148,4215
8,2018,9,1084,11094,4186,4674,4797,4401,2570,3889,2809,2870,6819,2616,7060,2790,11224,5833,2737,3128,3924,3152,13238,49082,5223,2825,3562
9,2018,10,926,10185,3368,3788,4027,3056,2179,2989,1281,2053,5844,2192,6017,2541,9836,7277,2379,2663,3343,2739,11022,51195,4638,2324,2863
10,2018,11,1140,12237,4332,5325,5111,4004,2866,3923,1604,2875,7402,2817,7347,3228,11763,8680,3145,3489,4081,3649,12392,25280,5978,3105,4290
11,2018,12,1070,11534,4395,5012,4989,4122,2828,4090,1593,3163,7264,2339,7982,3024,12960,10867,2891,3501,3958,3695,12568,39875,5946,2869,4398
12,2019,1,1221,13939,4594,5010,5037,4209,2852,4240,2950,3091,7212,2467,7067,3011,12309,11907,3110,3589,4140,3878,12644,60280,6078,2946,4210
