,Station Code,Name,Date,Temp,Prec,WS,Humi,Pres,cbwd
0,108,서울,2018-01-01,-1.3,,1.4,39.1,1016.8,290
1,108,서울,2018-01-02,-1.8,,1.8,42.0,1018.1,290
2,108,서울,2018-01-03,-4.7,,2.2,42.3,1019.9,290
3,108,서울,2018-01-04,-4.7,,1.4,43.0,1016.5,290
4,108,서울,2018-01-05,-3.0,,1.7,48.4,1010.3,290
5,108,서울,2018-01-06,-2.8,,1.5,45.8,1012.9,290
6,108,서울,2018-01-07,-0.8,,0.8,42.1,1010.7,90
7,108,서울,2018-01-08,1.3,0.9,1.8,51.9,1000.6,270
8,108,서울,2018-01-09,-4.2,0.5,2.9,59.4,1002.8,290
9,108,서울,2018-01-10,-7.5,0.3,3.0,52.0,1007.9,290
10,108,서울,2018-01-11,-11.1,,2.8,49.8,1015.9,290
11,108,서울,2018-01-12,-10.2,0.0,1.7,35.4,1020.6,290
12,108,서울,2018-01-13,-4.4,0.4,0.8,67.3,1021.1,50
13,108,서울,2018-01-14,0.6,,1.2,64.1,1017.9,90
14,108,서울,2018-01-15,4.7,0.2,1.4,63.9,1012.8,290
15,108,서울,2018-01-16,3.5,0.0,0.7,59.1,1007.6,20
16,108,서울,2018-01-17,4.5,,1.2,64.1,1007.2,290
17,108,서울,2018-01-18,2.1,0.0,1.9,59.6,1012.9,290
18,108,서울,2018-01-19,1.0,,1.6,43.0,1013.5,290
19,108,서울,2018-01-20,2.2,,1.6,57.6,1012.0,270
20,108,서울,2018-01-21,0.4,,1.0,36.6,1012.7,290
21,108,서울,2018-01-22,0.2,3.3,1.5,56.5,1005.2,290
22,108,서울,2018-01-23,-11.7,,3.7,42.0,1013.4,290
23,108,서울,2018-01-24,-14.2,,3.4,31.6,1018.3,290
24,108,서울,2018-01-25,-14.0,,2.8,32.6,1019.1,340
25,108,서울,2018-01-26,-14.8,,2.6,34.9,1018.9,320
26,108,서울,2018-01-27,-9.9,,1.4,37.4,1017.8,270
27,108,서울,2018-01-28,-6.3,,2.6,36.0,1011.6,290
28,108,서울,2018-01-29,-8.5,,2.7,35.0,1013.0,270
29,108,서울,2018-01-30,-5.3,2.9,1.3,62.0,1014.7,200
30,108,서울,2018-01-31,-2.6,0.0,1.6,54.5,1016.6,290
31,108,서울,2018-02-01,-4.0,,1.6,44.1,1018.3,290
32,108,서울,2018-02-02,-2.4,,1.6,51.1,1017.5,290
33,108,서울,2018-02-03,-7.3,0.5,3.8,47.0,1017.2,290
34,108,서울,2018-02-04,-9.5,,3.1,40.9,1017.3,290
35,108,서울,2018-02-05,-9.4,,3.0,37.8,1015.1,290
36,108,서울,2018-02-06,-10.1,,3.1,36.5,1014.4,290
37,108,서울,2018-02-07,-8.0,,1.5,39.8,1015.4,290
38,108,서울,2018-02-08,-4.4,,1.2,43.3,1014.0,20
39,108,서울,2018-02-09,0.4,,1.1,43.9,1011.8,230
40,108,서울,2018-02-10,-0.5,,3.0,47.4,1010.9,290
41,108,서울,2018-02-11,-6.1,0.0,2.7,42.5,1011.3,270
42,108,서울,2018-02-12,-5.8,0.0,2.7,40.8,1011.0,270
43,108,서울,2018-02-13,-0.8,,2.7,54.5,1011.0,200
44,108,서울,2018-02-14,3.5,,2.6,51.0,1006.3,250
45,108,서울,2018-02-15,-0.7,,2.5,28.0,1011.5,290
46,108,서울,2018-02-16,-1.1,,2.1,40.1,1008.1,270
47,108,서울,2018-02-17,-3.0,,2.9,25.6,1014.1,290
48,108,서울,2018-02-18,-0.4,,1.3,26.9,1015.5,270
49,108,서울,2018-02-19,1.8,,1.5,48.6,1013.3,290
50,108,서울,2018-02-20,0.9,,2.5,41.0,1012.8,290
51,108,서울,2018-02-21,-0.9,,2.3,31.5,1013.4,290
52,108,서울,2018-02-22,1.3,0.4,2.2,59.0,1010.6,230
53,108,서울,2018-02-23,4.2,3.7,1.9,81.1,1010.1,230
54,108,서울,2018-02-24,2.4,,2.1,49.4,1016.8,290
55,108,서울,2018-02-25,1.9,,1.7,40.6,1014.6,290
56,108,서울,2018-02-26,3.1,,1.4,43.1,1013.9,290
57,108,서울,2018-02-27,4.2,,0.9,48.8,1012.5,90
58,108,서울,2018-02-28,4.6,25.0,2.0,73.3,1000.1,90
59,108,서울,2018-03-01,-0.2,0.5,3.8,61.9,1001.1,290
60,108,서울,2018-03-02,-0.7,,1.5,34.0,1007.5,290
61,108,서울,2018-03-03,7.9,0.0,1.5,38.1,1003.7,270
62,108,서울,2018-03-04,9.8,11.5,1.2,89.1,1003.0,90
63,108,서울,2018-03-05,5.5,3.5,2.0,67.5,1007.9,50
64,108,서울,2018-03-06,4.5,,1.6,46.8,1018.8,20
65,108,서울,2018-03-07,6.4,0.5,1.8,54.0,1016.7,90
66,108,서울,2018-03-08,4.6,4.0,1.9,76.0,1009.3,320
67,108,서울,2018-03-09,4.5,,1.5,63.3,1012.6,290
68,108,서울,2018-03-10,4.6,,2.0,65.8,1013.4,290
69,108,서울,2018-03-11,6.4,,2.0,51.3,1014.7,290
70,108,서울,2018-03-12,8.0,,1.4,45.8,1011.8,290
71,108,서울,2018-03-13,12.4,,1.8,60.5,1008.3,230
72,108,서울,2018-03-14,17.0,,2.3,58.8,1008.5,230
73,108,서울,2018-03-15,12.4,27.0,2.1,92.1,1003.3,270
74,108,서울,2018-03-16,7.1,,1.9,46.9,1014.1,90
75,108,서울,2018-03-17,6.6,,1.5,48.0,1016.6,270
76,108,서울,2018-03-18,8.2,0.5,1.2,55.9,1010.7,290
77,108,서울,2018-03-19,8.0,1.0,2.5,64.5,1006.2,90
78,108,서울,2018-03-20,4.7,,3.4,39.9,1013.0,90
79,108,서울,2018-03-21,2.1,1.0,1.7,64.1,1007.5,20
80,108,서울,2018-03-22,4.9,,2.2,61.5,1004.4,270
81,108,서울,2018-03-23,6.1,,2.0,55.3,1009.1,270
82,108,서울,2018-03-24,7.6,,2.1,61.9,1011.8,270
83,108,서울,2018-03-25,9.6,,1.7,65.6,1014.0,290
84,108,서울,2018-03-26,11.0,,1.9,64.5,1011.3,290
85,108,서울,2018-03-27,13.3,,1.6,61.1,1007.3,250
86,108,서울,2018-03-28,14.0,,2.2,66.4,1006.6,250
87,108,서울,2018-03-29,15.4,,1.6,66.3,1009.6,270
88,108,서울,2018-03-30,14.8,,1.7,55.6,1012.7,90
89,108,서울,2018-03-31,14.0,,1.9,52.9,1009.9,270
90,108,서울,2018-04-01,15.6,,1.5,68.8,1006.3,200
91,108,서울,2018-04-02,18.4,,1.9,64.0,1005.4,230
92,108,서울,2018-04-03,17.8,0.1,2.1,72.9,1006.4,230
93,108,서울,2018-04-04,13.4,18.5,1.9,67.0,1007.4,90
94,108,서울,2018-04-05,7.6,10.5,2.0,90.6,1005.7,90
95,108,서울,2018-04-06,5.8,6.5,3.1,71.6,1001.0,270
96,108,서울,2018-04-07,4.2,0.2,4.1,45.5,1003.4,270
97,108,서울,2018-04-08,3.9,3.0,1.8,59.6,1004.7,90
98,108,서울,2018-04-09,7.9,,1.1,57.9,1007.5,20
99,108,서울,2018-04-10,15.1,5.0,3.5,51.0,1000.0,200
100,108,서울,2018-04-11,12.6,,3.0,49.4,1000.8,270
101,108,서울,2018-04-12,13.3,,2.6,30.5,1007.7,320
102,108,서울,2018-04-13,14.6,,1.3,22.9,1011.8,110
103,108,서울,2018-04-14,9.0,9.0,1.8,78.8,999.5,290
104,108,서울,2018-04-15,9.5,,2.4,65.5,1002.3,270
105,108,서울,2018-04-16,11.6,,1.6,41.9,1009.3,270
106,108,서울,2018-04-17,12.9,,1.9,37.9,1009.5,290
107,108,서울,2018-04-18,12.4,,1.9,35.4,1007.4,290
108,108,서울,2018-04-19,14.0,,1.9,38.8,1007.8,290
109,108,서울,2018-04-20,18.4,,1.3,46.0,1009.3,20
110,108,서울,2018-04-21,18.7,,1.9,32.0,1008.1,270
111,108,서울,2018-04-22,15.5,15.5,1.1,57.4,1007.9,110
112,108,서울,2018-04-23,9.3,59.0,2.2,93.9,1005.0,110
113,108,서울,2018-04-24,12.1,3.0,1.4,63.3,1001.6,110
114,108,서울,2018-04-25,14.6,,1.5,37.8,1003.2,290
115,108,서울,2018-04-26,14.9,,2.1,51.9,1003.7,290
116,108,서울,2018-04-27,15.7,,1.7,52.9,1004.2,290
117,108,서울,2018-04-28,15.4,,2.0,49.0,1006.2,290
118,108,서울,2018-04-29,16.2,,1.9,43.1,1003.4,290
119,108,서울,2018-04-30,19.2,,1.6,61.6,1004.4,290
120,108,서울,2018-05-01,20.4,0.0,1.5,72.8,1003.5,320
121,108,서울,2018-05-02,15.1,12.0,1.9,90.4,994.9,70
122,108,서울,2018-05-03,11.2,1.0,2.7,62.4,997.4,290
123,108,서울,2018-05-04,14.1,,2.7,45.5,1001.5,270
124,108,서울,2018-05-05,18.3,,2.6,46.8,1004.7,230
125,108,서울,2018-05-06,16.6,22.0,1.1,86.4,997.7,90
126,108,서울,2018-05-07,19.2,,1.2,60.3,996.5,290
127,108,서울,2018-05-08,17.5,,1.7,50.9,1003.9,110
128,108,서울,2018-05-09,15.7,,1.7,50.4,1010.6,90
129,108,서울,2018-05-10,15.4,,2.3,67.4,1012.1,270
130,108,서울,2018-05-11,16.1,,1.8,59.8,1008.2,290
131,108,서울,2018-05-12,14.2,32.0,0.9,89.3,999.8,50
132,108,서울,2018-05-13,15.8,0.5,1.9,82.5,998.3,270
133,108,서울,2018-05-14,18.2,,1.4,71.4,1001.3,270
134,108,서울,2018-05-15,23.2,0.0,1.1,56.4,1000.0,230
