Date,PM10,PM25
2021-03-01,17,10
2021-02-28,27,14
2021-02-27,21,11
2021-02-26,43,22
2021-02-25,62,31
2021-02-24,55,22
2021-02-23,57,14
2021-02-22,58,24
2021-02-21,83,45
2021-02-20,74,34
2021-02-19,51,25
2021-02-18,46,14
2021-02-17,43,9
2021-02-16,25,12
2021-02-15,60,39
2021-02-14,102,69
2021-02-13,93,63
2021-02-12,94,62
2021-02-11,79,50
2021-02-10,39,22
2021-02-09,25,14
2021-02-08,29,16
2021-02-07,89,48
2021-02-06,71,39
2021-02-05,31,17
2021-02-04,27,15
2021-02-03,38,20
2021-02-02,35,17
2021-02-01,75,36
2021-01-31,62,29
2021-01-30,57,25
2021-01-29,25,10
2021-01-28,34,14
2021-01-27,42,19
2021-01-26,47,31
2021-01-25,27,16
2021-01-24,13,8
2021-01-23,13,8
2021-01-22,46,30
2021-01-21,52,31
2021-01-20,53,29
2021-01-19,34,15
2021-01-18,38,17
2021-01-17,22,14
2021-01-16,57,35
2021-01-15,86,32
2021-01-14,88,26
2021-01-13,118,49
2021-01-12,70,53
2021-01-11,52,37
2021-01-10,40,28
2021-01-09,27,16
2021-01-08,23,12
2021-01-07,36,12
2021-01-06,29,14
2021-01-05,28,16
2021-01-04,44,24
2021-01-03,41,14
2021-01-02,36,12
2021-01-01,30,18
,,
